Name,Security Group,Subnet,Volume Size,Instance Type,Image,Account,runprofile,region,ipaddress,future 3,future 4,bbva-ops-instancescheduler,bbva-ops-uuaa,bbva-ops-operationalband,bbva-ops-logicalenvironment,bbva-arch-projectname,bbva-arch-workload,bbva-ops-lineofbusiness,bbva-ops-lineofbusinesslevel2,bbva-arch-initiative,bbva-ops-techcontact,bbva-ops-createdby,bbva-isg-pci,bbva-isg-pii,bbva-isg-sox,bbva-arch-appcmdb,bbva-ops-backup-plan,xvdf,xvdg
#itsedevpacktst2,management,private,50,t2.micro,ami-05e1f0e011fe2c0a0,860968575630,860968575630-ADFS-PLAY-ITOperationsAdvanced,us-east-1a,,,,na,na,play,dev,test,app,oso-unix,oso-unix,123668,oso-unix,oso-unix,no,no,no,na,Never,,
uawsrhcap1,sg-529a4929,subnet-0d91b57b,500,i3.2xlarge,ami-0ae262d1b53de1aae,222072124615,222072124615-ADFS-LIVE-ITOperations,us-east-1b,10.14.130.56,,,na,na,live,prod,na,capsule,oso-unix,oso-unix,123668,oso-unix,oso-unix,no,no,no,na,Never,,
